id,feature1,feature2,feature3,target
1768,10.6974481868148,83.4934160784582,15.7585790022649,normal
1769,13.1774763591291,83.983340386428,17.3889557827585,normal
1770,13.8933096522834,82.0527968352585,19.4465590615673,lebih
1771,11.4961429627394,94.0928690304049,13.6455032908471,normal
1772,13.1958192108339,82.0223679549266,17.7286356102532,lebih
1773,10.4052025492913,81.4726471058716,19.2320729653734,normal
1774,12.5323250256429,88.6308354851125,15.8436802930386,normal
1775,11.6495713186849,86.5630091658462,16.8319805137776,normal
1776,15.2764417008052,82.6651538193445,13.3395677150553,lebih
1777,13.1376945717959,81.7474561205614,14.1242292768001,lebih
1778,15.8392846895603,83.0542892413964,18.5842373596008,lebih
1779,12.6041349523392,88.425888783378,15.6223377636659,normal
1780,11.9887719761722,74.0916548884052,18.1265262714493,lebih
1781,8.77418512180269,92.1550091127254,13.0345182431056,kurang
1782,10.4589671487452,85.505203241663,14.9039856500828,normal
1783,10.7710042895776,81.8257669071739,18.3817453087801,normal
1784,8.33248087426293,87.4427396994319,17.0697999775851,kurang
1785,16.3223208716866,94.0777298145809,13.96499833709,normal
1786,11.9518860698995,79.7393473047147,16.7585336243964,normal
1787,14.2730165790202,96.4986274161168,13.3952066501106,normal
1788,15.5776358936434,92.6816140732822,15.5976228971549,normal
1789,9.19375914816286,85.3605572926313,16.8810073806097,normal
1790,8.56019655640442,89.32763656147,17.5434625527214,kurang
1791,12.5798120469486,87.8776414300372,19.9221142350346,normal
1792,14.3864203028758,97.4163142926612,12.0945994441444,normal
1793,15.8695098659009,87.945105025226,14.9818456123844,lebih
1794,16.3012172638288,88.7720565471983,14.9182069669122,lebih
1795,16.9303027064818,87.7433076533939,9.7454490014842,lebih
1796,4.96378029965607,92.9483182497165,14.0665616012302,buruk
1797,9.85019077569998,84.5741078704528,15.905822831831,normal
1798,15.9409277228087,88.7679412083048,16.89714867364,lebih
1799,10.6949138913423,91.8532720801571,14.9457198277013,normal
1800,15.0664208309263,90.0057137701749,15.4566283524348,normal
1801,11.7220138026281,73.9706741794872,16.0106584785051,lebih
1802,16.7348256425608,97.7966435964203,12.3784829369287,normal
1803,12.5714683818954,84.290857465077,13.3985174144524,normal
1804,8.10183511901903,89.2565064981915,14.53948412674,kurang
1805,8.80066487702578,80.8512054097428,15.3567486986997,normal
1806,10.3774025493938,88.6664226800771,12.7855272349241,normal
1807,14.4731278895238,87.4739337848438,16.6300558806639,normal
1808,8.69077098478046,92.1348953532042,19.6588790737982,buruk
1809,13.1252401959417,90.1359089645639,18.1496323197476,normal
1810,9.09077205773274,95.7353216917878,17.4363575928388,buruk
1811,13.6903169468577,84.0460203029824,18.2815732466821,lebih
1812,13.9972456690956,89.4295580188002,14.4013789799169,normal
1813,11.7461487711253,88.2093154416453,16.6724460160472,normal
1814,13.5735945080853,79.4285787924898,13.5341546199377,lebih
1815,10.7183679375088,90.7211022173605,17.1076399946771,normal
1816,11.828174942134,90.5557771458729,16.0695207141045,normal
1817,10.9426475712021,94.3255644937956,16.3964731407792,normal
1818,12.6397772952163,71.6226002476042,17.9513587202721,lebih
1819,14.9038709699311,87.5780196990551,16.1566263189251,lebih
1820,15.0125765240672,80.3205353995854,15.5130769121053,lebih
1821,11.5289408044836,90.4603171327485,13.4013584164315,normal
1822,8.21528856446632,100.06680989347,14.6675323933423,buruk
1823,13.1095667600208,83.0206641170151,15.1860945308341,normal
1824,12.5432710866843,86.0537027157009,15.5910200301115,normal
1825,11.5531723697456,74.3704201540996,13.4183911124117,lebih
1826,10.4620745250104,85.1157491416773,15.3779628843161,normal
1827,12.1922873216287,84.993041187489,11.3080538783536,normal
1828,9.49039501325653,82.8382182000039,17.0960564550286,normal
1829,15.1775140058027,81.1784322435366,12.9630939955899,lebih
1830,12.9083792787427,85.2407689881014,17.7192057026502,normal
1831,10.2327707583856,91.7519912533322,12.597435743393,normal
1832,11.7251077771516,88.7775851027056,17.6896059382341,normal
1833,16.7222842203336,94.6340437662171,13.408871998204,normal
1834,15.1469330837593,94.6049827823524,16.1885717019645,normal
1835,8.54816449500326,99.7790423506018,15.4035477696846,buruk
1836,10.643555021328,85.3292171786593,12.9457964598441,normal
1837,13.4079796023305,84.9813113429855,15.8723888513393,normal
1838,12.4617976458101,93.8442029487202,13.6206118129114,normal
1839,11.2343311095396,83.9743768172882,13.058361383034,normal
1840,8.52674684383162,84.1693392477362,13.6076305648811,normal
1841,11.0979366152737,98.8612302940693,17.3128092717237,kurang
1842,11.0707717783426,91.920389595126,15.3363084741208,normal
1843,12.6834025279793,90.7494039242959,16.3795945567115,normal
1844,12.3570999477379,85.8562370260498,17.0747310489759,normal
1845,10.1491933607483,94.1121363349102,16.1235106965762,kurang
1846,12.7808233713395,94.0610052580692,18.2776123598312,normal
1847,11.2936282966534,95.1049827043796,16.1663124189378,normal
1848,14.2250772150807,83.7249417893072,12.2612866228227,lebih
1849,10.837326270059,93.074006280987,16.1342181833392,normal
1850,11.2352303719279,90.5719778623254,14.648072655835,normal
1851,14.4126828305646,81.0862539132406,15.0710289359496,lebih
1852,13.4959372646374,82.9548599095446,14.8055816257631,lebih
1853,11.164301639418,80.5637508949949,15.8909157909212,normal
1854,15.3017773316663,87.3974964046437,13.3556240955769,lebih
1855,11.8496707026643,83.8639510638941,17.8357372524897,normal
1856,12.3787119819825,89.2052385587805,13.959854269717,normal
1857,11.6749924010754,94.9818401243194,16.1331457448822,normal
1858,12.0836331229089,80.6487747180906,15.3497624432998,normal
1859,10.3782453819767,89.4878089105592,15.7273411771558,normal
1860,9.7259483671248,78.4655125882196,18.525958439512,normal
1861,8.44620575063598,89.5408875076053,14.1555626130608,kurang
1862,12.6195612547457,82.6068028314912,17.2953888284216,normal
1863,11.9718534270778,90.8562909497193,14.0032525432166,normal
1864,10.528822825745,94.6868876784163,13.7782821949334,kurang
1865,12.2147072785871,99.0087462722649,16.1979789006575,kurang
1866,13.286518137855,79.2133071647624,15.2711368128994,lebih
1867,14.8479727641906,86.1146586044321,15.905694543096,lebih
1868,11.4321094620035,94.4767159119771,17.6781111962488,normal
1869,14.1975723834436,77.7896870897316,16.063798454695,lebih
1870,13.8958956692864,90.4933462048848,15.7928039560443,normal
1871,8.32284188096174,72.4067970980632,16.4179798022082,normal
1872,8.03756296469437,90.2332080236874,15.276081198241,buruk
1873,13.4359858943792,85.2653297317242,15.3328444959451,normal
1874,12.2564397377687,81.0748007428517,18.7162137386553,normal
1875,12.4537897818361,84.7759004630301,11.591304254714,normal
1876,14.0940933288208,79.7763190731755,14.8765844168011,lebih
1877,14.1209533498016,93.3928059033038,15.1974368583934,normal
1878,12.0196032523936,86.0035861190813,18.8862687308245,normal
1879,11.7884551607851,92.4782239179857,19.637953650183,normal
1880,16.8127326041355,79.5947933685321,16.7603165728076,lebih
1881,14.51474098645,85.4201760006273,14.4031938374234,lebih
1882,13.7372748134966,84.5643542979195,14.1484008544442,normal
1883,10.9266088957734,83.676783752549,20.0968272241115,normal
1884,10.1644411535969,87.6252783721741,14.942586518745,normal
1885,13.719257789365,89.7111159670926,15.6536755764514,normal
1886,14.0306907864771,93.8502664202475,16.4849263374608,normal
1887,12.9701333399499,91.2984135704921,12.8875916671159,normal
1888,14.1493083162971,93.2969396204301,16.7246154270058,normal
1889,13.8761375771274,92.6845744669892,14.4483891266044,normal
1890,10.3270250610253,96.0601754031413,11.4227964589313,kurang
1891,9.89094663512846,87.2512673688393,11.4137281689606,normal
1892,13.4291300836009,91.2291072018631,13.280766361112,normal
1893,13.3539070781778,81.0428314988778,13.1602630579403,lebih
1894,12.6370986415018,94.1251032453856,15.7468359718215,normal
